                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8867,                 2.8858,                 1.4765,                0.39921,                0.46655,                0.39422,                0.26922,                 1.2814,                 2.7185,                 2.3622,             0.00023712,             0.00023712,             0.00023712
                      2,                0.72582,                 1.9552,                 1.3284,                0.55267,                0.52407,                0.53451,                0.36965,                 1.1996,                 1.9774,                 2.3605,             0.00044376,             0.00044376,             0.00044376
                      3,                0.66758,                 1.6212,                 1.2783,                0.57726,                0.55696,                0.57581,                0.33742,                 1.4552,                  1.946,                 2.4882,             0.00061899,             0.00061899,             0.00061899
                      4,                0.62588,                 1.4579,                 1.2396,                0.66324,                0.53817,                0.60031,                0.43167,                 1.1259,                  1.706,                 2.1643,             0.00057263,             0.00057263,             0.00057263
                      5,                0.56935,                 1.3445,                  1.202,                0.73599,                0.70782,                0.74348,                0.54577,                 1.1168,                 1.1701,                 2.1473,             0.00057263,             0.00057263,             0.00057263
                      6,                0.48515,                 1.2451,                 1.2834,                0.77015,                0.72082,                0.79126,                0.58112,                 1.0804,                 1.0983,                 2.0738,              0.0005255,              0.0005255,              0.0005255
                      7,                0.43531,                 1.0336,                 1.2273,                0.81501,                0.75722,                0.83873,                0.63822,                0.99226,                0.95916,                 1.9495,             0.00047838,             0.00047838,             0.00047838
                      8,                0.41235,                 0.9171,                 1.2041,                0.74636,                  0.801,                0.83034,                0.62249,                 1.0428,                0.93538,                 1.9745,             0.00043126,             0.00043126,             0.00043126
                      9,                 0.3957,                0.84221,                 1.1857,                0.68984,                0.68561,                0.71867,                0.54714,                 1.0124,                 1.2169,                 1.9679,             0.00038413,             0.00038413,             0.00038413
                     10,                0.37475,                0.77823,                 1.1667,                0.80963,                0.76483,                0.83356,                0.62636,                 1.0338,                 0.9273,                 1.9937,             0.00033701,             0.00033701,             0.00033701
                     11,                0.37587,                0.72539,                 1.1669,                0.83055,                0.80851,                0.86432,                0.67694,                0.95931,                 0.8274,                 1.8533,             0.00028988,             0.00028988,             0.00028988
                     12,                0.35036,                0.67548,                 1.1376,                0.85251,                0.81625,                0.87269,                0.68993,                0.92739,                0.79233,                 1.8401,             0.00024276,             0.00024276,             0.00024276
                     13,                 0.3464,                0.62007,                 1.1315,                0.83306,                0.85839,                0.88565,                0.69651,                0.94464,                0.80029,                 1.8544,             0.00019564,             0.00019564,             0.00019564
                     14,                0.32971,                0.55459,                 1.1196,                0.85203,                0.82372,                0.87679,                0.69568,                0.90569,                0.76492,                  1.812,             0.00014851,             0.00014851,             0.00014851
                     15,                0.31645,                0.51649,                 1.1034,                0.84588,                 0.8454,                0.88621,                0.70699,                0.91268,                0.73347,                 1.8008,             0.00010139,             0.00010139,             0.00010139
